0,1,2,3,4
"3003-50081-03-3-FERRO REDONDO 1020 1/2""",3003-50081-03-3,Peça,"12,70","0,25"
"3003-50511-00-3-FERRO REDONDO 1020 1/2""",3003-50511-00-3,Peça,"12,70","0,13"
"3010-51710-06-4-Ferro Redondo 1020 5/8""",3010-51710-06-4,Peça,"15,88",
3013-35672-00-1-Ferro Redondo 1020,3013-35672-00-1,Peça,,
"3016-31990-03-4-FERRO REDONDO 1020 3/4""",3016-31990-03-4,Peça,"19,05","0,97"
"3016-31990-05-4-FERRO REDONDO 1020 3/4""",3016-31990-05-4,Peça,"19,05","1,08"
"3016-31990-06-4-FERRO REDONDO 1020 5/8""",3016-31990-06-4,Peça,"15,88","0,61"
"3016-31990-08-4-FERRO REDONDO 1020 3/4""",3016-31990-08-4,Peça,"19,05","1,18"
"3016-31990-09-4-FERRO REDONDO 1020 5/8""",3016-31990-08-4,Peça,"15,88","0,81"
"3016-31990-10-4-FERRO REDONDO 1020 5/8""",3016-31990-10-4,Peça,"15,88","0,90"
"3016-36151-05-4-Ferro Redondo 1020 5/8""",3016-36151-05-4,Peça,"15,88",
"3016-36151-06-4-Ferro Redondo 1020 5/8""",3016-36151-06-4,Peça,"15,88","0,77"
"3016-36901-01-4-Ferro Redondo 1020 5/8""",3016-36901-01-4,Peça,"15,88","0,39"
"3016-40079-03-4-Ferro Redondo 1020 5/8""",3016-40079-03-4,Peça,"15,88",
"3016-46661-03-4-Ferro Redondo 1020 5/8""",3016-46661-03-4,Peça,"15,88","0,23"
"3016-50152-02-3-Ferro Redondo 1020 3/4""",3016-50152-02-3,Peça,"19,05",
"3016-50152-03-3-Ferro Redondo 1020 3/4""",3016-50152-03-3,Peça,"19,05",
"3016-50503-02-3-FERRO REDONDO 1020 7/8""",3016-50503-02-3,Peça,"22,23","2,30"
"3016-50694-02-3-Ferro Redondo 1020 5/8""",3016-50694-02-3,Peça,"15,88",
"3016-50694-04-3-Ferro Redondo 1020 3/4""",3016-50694-04-3,Peça,"19,05",
"3016-52636-02-4-Ferro Redondo 1020 5/8""",3016-52636-02-4,Peça,"15,88","0,23"
"Cantoneira B.Carb 1 1/2"" X 1/4""",JuYc9QLx,Barra,"6,35","3,48"
"Cantoneira B.Carb 1 1/2"" X 1/8""",PeC9hqHy,Barra,"3,00","1,83"
"Cantoneira B.Carb 1 1/2"" X 3/16""",fGzyGNk2,Barra,"4,75","2,68"
"Cantoneira B.Carb 1 1/4"" X 1/4""",Oao4IetB,Barra,"6,35","2,86"
"Cantoneira B.Carb 1 1/4"" X 1/8""",TxONUgF3,Barra,"3,00","1,50"
"Cantoneira B.Carb 1 1/4"" X 3/16""",F1W2M7zJ,Barra,"4,75","2,19"
"Cantoneira B.Carb 1 1/4"" X 3/16""",DpINRSM2,Barra,"4,75","2,20"
"Cantoneira B.Carb 1 3/4"" X 1/4""",sl3zdJW3,Barra,"6,35","4,12"
"Cantoneira B.Carb 1 3/4"" X 1/8""",BLsl8NE2,Barra,"3,00","2,14"
"Cantoneira B.Carb 1 3/4"" X 3/16""",IBHT8jtA,Barra,"4,75","3,15"
"Cantoneira B.Carb 1"" X 1/4""",o6L5zeZK,Barra,"6,35","2,29"
"Cantoneira B.Carb 1"" X 1/8""",WZKMkFhO,Barra,"3,00","1,19"
"Cantoneira B.Carb 1"" X 3/16""",FyoUBHM2,Barra,"4,75","1,73"
"Cantoneira B.Carb 1/2"" X 1/8""",l4UtY2Xz,Barra,"3,00","0,55"
"Cantoneira B.Carb 2 1/2"" X 1/4""",O3abzS7r,Barra,"6,35","6,10"
"Cantoneira B.Carb 2 1/2"" X 3/16""",oi1J4Wfk,Barra,"4,75","4,52"
"Cantoneira B.Carb 2"" X 1/4""",UxIdAXsR,Barra,"6,35","4,75"
"Cantoneira B.Carb 2"" X 1/8""",dDazEEgn,Barra,"3,00","2,46"
"Cantoneira B.Carb 2"" X 3/16""",G2BfYfoh,Barra,"4,75","3,63"
"Cantoneira B.Carb 3"" X 1/4""",DcdgPsye,Barra,"6,35","7,30"
"Cantoneira B.Carb 3"" X 3/16""",BwEIjSWn,Barra,"4,75","5,52"
"Cantoneira B.Carb 3/4"" X 1/8""",dyTi59D9,Barra,"3,00","0,87"
"Cantoneira B.Carb 5/8"" X 1/8""",i4g7g9s7,Barra,"3,00","0,71"
"Cantoneira B.Carb 7/8"" X 1/8""",Hg64Qkag,Barra,"3,00","1,04"
"Chapa 1008 4,75mm / 3/16""",bR3piXrr,Chapa,"4,75","8,00"
"Chapa 1045 12,70mm / 1/2""",TytOqFBF,Chapa,"12,70","8,00"
"Chapa 1045 16,00mm / 5/8""",rPp6KwYi,Chapa,"16,00","8,00"
"Chapa 1045 19,00mm / 3/4""",4z45EBzn,Chapa,"19,00","8,00"
"Chapa 1045 25,40mm / 1""",Agc2JTF1,Chapa,"25,40","8,00"
"Chapa 1045 3,00mm / 1/8""",Agc2JTF2,Chapa,"3,00","8,00"
"Chapa 1045 4,75mm / 3/16""",Swr40s6O,Chapa,"4,75","8,00"
"Chapa 1045 6,35mm / 1/4""",iKhTocx0,Chapa,"6,35","8,00"
"Chapa 1045 8,00mm / 5/16""",k6cqITbn,Chapa,"8,00","8,00"
"Chapa 1045 9,50mm / 3/8""",ZFSnbrfl,Chapa,"9,50","8,00"
"Chapa 1070 2,65mm / #12",,Chapa,"2,65","8,00"
"Chapa A36 12,7mm / 1/2""",9cWAerXf,Chapa,"12,70","8,00"
"Chapa A36 16,00mm / 5/8""",UCycMsE1,Chapa,"16,00","8,00"
"Chapa A36 19,00mm / 3/4""",YHBplgZE,Chapa,"19,00","8,00"
"Chapa A36 2,00mm / #14",CYKuCj2h,Chapa,"2,00","8,00"
"Chapa A36 3,00mm / #11",Q45NzErk,Chapa,"3,00","8,00"
"Chapa A36 4,75mm / 3/16""",CjXD2M0O,Chapa,"4,75","8,00"
"Chapa A36 6,35mm / 1/4""",pkekiXaI,Chapa,"6,35","8,00"
"Chapa A36 8,00mm / 5/16""",u6o5MYkY,Chapa,"8,00","8,00"
"Chapa A36 9,5mm / 3/8""",l7FmgDSE,Chapa,"9,50","8,00"
"Chapa Aluminio Liso 0,40mm",TeQcpjrZ,Chapa,"0,40","3,00"
"Chapa Aluminio Liso 0,50mm",ZMpqwdBF,Chapa,"0,50","3,00"
"Chapa Aluminio Liso 0,60mm",tDKLAULY,Chapa,"0,60","3,00"
"Chapa Aluminio Liso 0,80mm",k6aDodqu,Chapa,"0,80","3,00"
"Chapa Aluminio Liso 1,00mm",hNqA01JB,Chapa,"1,00","3,00"
"Chapa Aluminio Liso 1,20mm",sT4Wln6r,Chapa,"1,20","3,00"
"Chapa Aluminio Liso 1,50mm",zyPZxtc1,Chapa,"1,50","3,00"
"Chapa Aluminio Liso 1,60mm",nuQyqFNW,Chapa,"1,60","3,00"
"Chapa Aluminio Liso 2,00mm / #14",DBSyfCuw,Chapa,"2,00","3,00"
"Chapa Aluminio Liso 2,50mm",03ArLlyH,Chapa,"2,50","3,00"
"Chapa Aluminio Liso 25,40mm / 1""",2L7I7riC,Chapa,"25,40","3,00"
"Chapa Aluminio Liso 3,00mm / #11",GBrbxh0Z,Chapa,"3,00","3,00"
"Chapa Aluminio Liso 4,00mm",2P7ll5dS,Chapa,"4,00","3,00"
"Chapa Aluminio Liso 4,75mm / 3/16""",Q0Yw24J0,Chapa,"4,75","3,00"
"Chapa Aluminio Liso 5,00mm",Q0Yw24J1,Chapa,"5,00","3,00"
"Chapa Aluminio Liso 6,35mm / 1/4""",clio7LnR,Chapa,"6,35","3,00"
"Chapa Aluminio Liso 9,50mm / 3/8""",an04XRKc,Chapa,"9,50","3,00"
"Chapa Aluminio Stucco 0,80mm",a6aD3KSc,Chapa,"0,80","3,00"
"Chapa Aluminio Xadrez 1,5mm / #16",Esfl09gD,Chapa,"1,50","4,00"
"Chapa Aluminio Xadrez 2,20mm",3akUbKgT,Chapa,"2,20","4,00"
"Chapa Aluminio Xadrez 2,70mm",ueXC43yd,Chapa,"3,00","4,00"
"Chapa Aluminio Xadrez 4,75mm / 3/16""",qlgITnIu,Chapa,"4,75","4,00"
"Chapa B.Carb 0,50mm / #26 / FF",ohd2Eo8I,Chapa,"0,50","8,00"
"Chapa B.Carb 0,75mm / #22 / FF",XBBJ2Ft4,Chapa,"0,75","8,00"
"Chapa B.Carb 0,90mm / #20 / FF",peUD5h5c,Chapa,"0,90","8,00"
"Chapa B.Carb 1,20mm / #18 / FF",eReztD7H,Chapa,"1,20","8,00"
"Chapa B.Carb 1,50mm / #16 / FF",g1Anfprd,Chapa,"1,50","8,00"
"Chapa B.Carb 1,50mm / #16 / FQ",d5wkIjwl,Chapa,"1,50","8,00"
"Chapa B.Carb 101,60mm / 4""",LrJiW19a,Chapa,"101,60","8,00"
"Chapa B.Carb 114,30mm / 4 1/2""",BziDorG2,Chapa,"114,30","8,00"
"Chapa B.Carb 12,70mm / 1/2""",fNkReuCf,Chapa,"12,70","8,00"
"Chapa B.Carb 14,00mm",zOUmnbfA,Chapa,"14,00","8,00"
"Chapa B.Carb 16,00mm / 5/8""",CC5iH17h,Chapa,"16,00","8,00"
"Chapa B.Carb 19,00mm / 3/4""",0gy7Up94,Chapa,"19,00","8,00"
"Chapa B.Carb 2,00mm / #14 / FF",Hrx0Zlk8,Chapa,"2,00","8,00"
"Chapa B.Carb 2,00mm / #14 / FQ",,Chapa,"2,00","8,00"
"Chapa B.Carb 2,25mm / #13 / FQ",Mw66ySfi,Chapa,"2,25","8,00"
"Chapa B.Carb 2,65mm / #12 / FQ",uxMNSE5N,Chapa,"2,65","8,00"
"Chapa B.Carb 22,40mm / 7/8""",P3DbkXsf,Chapa,"22,40","8,00"
"Chapa B.Carb 25,40mm / 1""",ExTOypuX,Chapa,"25,40","8,00"
"Chapa B.Carb 3,00mm / 1/8""",nrcF0KjZ,Chapa,"3,00","8,00"
"Chapa B.Carb 3,75mm / #9 / FQ",RYE3wpRn,Chapa,"3,75","8,00"
"Chapa B.Carb 31,80mm / 1 1/4""",8zfJkSMY,Chapa,"31,80","8,00"
"Chapa B.Carb 38,00mm / 1 1/2""",Yf6m6iWq,Chapa,"38,00","8,00"
"Chapa B.Carb 4,25mm / #8 / FQ",WUxrqcPN,Chapa,"4,25","8,00"
"Chapa B.Carb 4,75mm / 3/16""",MhhNns0w,Chapa,"4,75","8,00"
"Chapa B.Carb 4,75mm / 3/16"" EXPANDIDA MALHA 50X100",shJ4enLm,Chapa,"4,75","0,99"
"Chapa B.Carb 44,00mm / 1 3/4""",6P8B5eha,Chapa,"44,00","8,00"
"Chapa B.Carb 50,80mm / 2""",kUfCdIyb,Chapa,"50,80","8,00"
"Chapa B.Carb 6,35mm / 1/4""",Spc5fFaO,Chapa,"6,35","8,00"
"Chapa B.Carb 63,50mm / 2 1/2""",smRxmtXK,Chapa,"63,50","8,00"
"Chapa B.Carb 76,80mm / 3""",8Oq5ALuN,Chapa,"76,80","8,00"
"Chapa B.Carb 8,00mm / 5/16""",aXALsj8N,Chapa,"8,00","8,00"
"Chapa B.Carb 9,50mm / 3/8""",lChlHeuK,Chapa,"9,50","8,00"
"Chapa B.Carb Galv 0,50mm / #26",k9Imfebh,Chapa,"0,55","8,00"
"Chapa B.Carb Galv 0,65mm / #24",RHhADkFm,Chapa,"0,65","8,00"
"Chapa B.Carb Galv 0,80mm / #22",eATwe3iF,Chapa,"0,80","8,00"
"Chapa B.Carb Galv 0,95mm / #20",i7md4Lp4,Chapa,"0,95","8,00"
"Chapa B.Carb Galv 1,25mm / #18",OKxi9Awi,Chapa,"1,25","8,00"
"Chapa B.Carb Galv 1,55mm / #16",qHo7Rdlu,Chapa,"1,55","8,00"
"Chapa B.Carb Galv 1,95mm / #14",9AGyi1N6,Chapa,"1,95","8,00"
"Chapa B.Carb Galv 2,65mm / #12",r7QN3uU9,Chapa,"2,65","8,00"
"Chapa B.Carb Galv 3,00mm / #11",9iROqcUa,Chapa,"3,00","8,00"
"Chapa B.Carb Galv 3,35mm / #10",ofhjSd0n,Chapa,"3,35","8,00"
Chapa B.Carb Perfurada,,Chapa,,
Chapa B.Carb Retalhos,,Chapa,,
"Chapa B.Carb Xadrez 2,65mm / #12",Bw83B0kF,Chapa,"2,65","9,00"
"Chapa B.Carb Xadrez 3,00mm / #11 / 1/8""",ebsWxNDY,Chapa,"3,00","9,00"
"Chapa B.Carb Xadrez 4,75mm / 3/16""",BCI9pO67,Chapa,"4,75","9,00"
"Chapa B.Carb Xadrez 6,35mm / 1/4""",SPEFPTeW,Chapa,"6,35","9,00"
"Chapa Inox 304 0,50mm / DECAPADO",9L6bIHdu,Chapa,"0,50","8,00"
"Chapa Inox 304 0,50mm / ESCOVADO",9L6bIHdA,Chapa,"0,50","8,00"
"Chapa Inox 304 0,65mm / DECAPADO",QbydTW9B,Chapa,"0,65","8,00"
"Chapa Inox 304 0,80mm / DECAPADO",843WWYlK,Chapa,"0,80","8,00"
"Chapa Inox 304 0,80mm / ESCOVADO",o8utYNgu,Chapa,"0,80","8,00"
"Chapa Inox 304 0,80mm / POLIDO",dfSgSZht,Chapa,"0,80","8,00"
"Chapa Inox 304 0,80mm PERFU. Ø2mm EntreFuro 4mm",wrdF4OXX,Chapa,"0,80","4,38"
"Chapa Inox 304 06,00mm Decapado",fqbYWDQY,Chapa,"6,00","8,00"
"Chapa Inox 304 1,00mm / DECAPADO",07DzrOTH,Chapa,"1,00","8,00"
"Chapa Inox 304 1,00mm / ESCOVADO",9GEhsoRQ,Chapa,"1,00","8,00"
"Chapa Inox 304 1,00mm / POLIDO",JlljYmEQ,Chapa,"1,00","8,00"
"Chapa Inox 304 1,20mm / DECAPADO",j7QicM3k,Chapa,"1,20","8,00"
"Chapa Inox 304 1,20mm / ESCOVADO",F1S1nR4x,Chapa,"1,20","8,00"
"Chapa Inox 304 1,20mm / POLIDO",mSTZGQJC,Chapa,"1,20","8,00"
"Chapa Inox 304 1,50mm / DECAPADO",Lj8nQ49N,Chapa,"1,50","8,00"
"Chapa Inox 304 1,50mm / ESCOVADO",6dmmhzNn,Chapa,"1,50","8,00"
"Chapa Inox 304 1,50mm / POLIDO",Js0HqYQh,Chapa,"1,50","8,00"
"Chapa Inox 304 12,7mm / 1/2""  DECAPADO",0MhfXHJN,Chapa,"12,70","8,00"
"Chapa Inox 304 16,0mm / 5/8""  DECAPADO",,Chapa,"16,00","8,00"
"Chapa Inox 304 19,0mm / 3/4""  DECAPADO",,Chapa,"19,00","8,00"
"Chapa Inox 304 2,00mm / DECAPADO",mWlqn2Rh,Chapa,"2,00","8,00"
"Chapa Inox 304 2,00mm / ESCOVADO",7620pOCy,Chapa,"2,00","8,00"
"Chapa Inox 304 2,00mm / POLIDO",5EBE8Fyh,Chapa,"2,00","8,00"
"Chapa Inox 304 2,50mm / DECAPADO",FQsr4KEo,Chapa,"2,50","8,00"
"Chapa Inox 304 2,65mm / DECAPADO",NxhRENc1,Chapa,"2,65","8,00"
"Chapa Inox 304 2,65mm / ESCOVADO",zaya82BZ,Chapa,"2,65","8,00"
"Chapa Inox 304 25,4mm / 1""  DECAPADO",,Chapa,"25,40","8,00"
"Chapa Inox 304 3,00mm / DECAPADO",u2YmSUHn,Chapa,"3,00","8,00"
"Chapa Inox 304 3,00mm / ESCOVADO",bBRhT4mp,Chapa,"3,00","8,00"
"Chapa Inox 304 3,00mm / POLIDO",cywdOXZc,Chapa,"3,00","8,00"
"Chapa Inox 304 3,50mm / DECAPADO",xC42kex9,Chapa,"3,50","8,00"
"Chapa Inox 304 38,1mm / 1 1/2""  DECAPADO",cywdOXZd,Chapa,"38,10","8,00"
"Chapa Inox 304 4,00mm / DECAPADO",atACDFSz,Chapa,"4,00","8,00"
"Chapa Inox 304 4,75mm / 3/16"" DECAPADO",j6nNqY4T,Chapa,"4,75","8,00"
"Chapa Inox 304 5,00mm / DECAPADO",SayLba9M,Chapa,"5,00","8,00"
"Chapa Inox 304 5,00mm / ESCOVADO",SayLba9M,Chapa,"5,00","8,00"
"Chapa Inox 304 6,00mm / DECAPADO",w9a3kncZ,Chapa,"6,35","8,00"
"Chapa Inox 304 8,00mm / 5/16""  DECAPADO",J81DEaEm,Chapa,"8,00","8,00"
"Chapa Inox 304 9,50mm / 3/8""  DECAPADO",NiOB32MF,Chapa,"9,50","8,00"
"Chapa Inox 316L 0,80mm / DECAPADO",Xn9ykgi8,Chapa,"0,80","8,00"
"Chapa Inox 316L 1,00mm / DECAPADO",,Chapa,"1,00","8,00"
"Chapa Inox 316L 12,7mm / 1/2""  DECAPADO",Xn9ykgii,Chapa,"12,70","8,00"
"Chapa Inox 316L 2,65mm / DECAPADO",Xn9ykgiJ,Chapa,"2,65","8,00"
"Chapa Inox 316L 3,00mm / DECAPADO",Xn9ykgik,Chapa,"3,00","8,00"
"Chapa Inox 316L 4,50mm / DECAPADO",Xn9ykgil,Chapa,"4,50","8,00"
"Chapa Inox 316L 5,00mm / DECAPADO",DQKkG1aK,Chapa,"5,00","8,00"
"Chapa Inox 316L 6,00mm / DECAPADO",DQKG1aJ,Chapa,"6,00","8,00"
"Chapa Inox 316L 6,35mm / 1/4""  DECAPADO",DQKkG1aJ,Chapa,"6,35","8,00"
"Chapa Inox 316L 8,00mm / 5/16""  DECAPADO",DQKkG1am,Chapa,"8,00","8,00"
"Chapa Inox 316L 9,50mm / 3/8""  DECAPADO",DQKkG1an,Chapa,"9,50","8,00"
"Chapa Inox 430 0,60mm / #22",MS5hcRw5,Chapa,"0,60","8,00"
"Chapa Inox 430 0,70mm / #23",y22JBO86,Chapa,"0,70","8,00"
"Chapa Inox 430 0,80mm / ESCOVADO",t96h9mgS,Chapa,"0,80","8,00"
"Chapa Inox 430 0,80mm / POLIDO",,Chapa,"0,80","8,00"
"Chapa Inox 430 1,00mm / DECAPADO",D9kMwZiN,Chapa,"1,00","8,00"
